idx,k_n,k_c,sN,sA,sAA,bP,bQ,bA,score
158,5,39,2.8,0.1,5,3.0,0.0,2.1,0.008050296875000001
159,5,39,2.8,0.1,5,3.0,0.0,2.2,0.0077280749999999974
160,5,39,2.8,0.1,5,3.0,0.0,2.3,0.010244203125
161,5,39,2.8,0.1,6,2.5,0.2,2.0,0.00033517812499999993
162,5,39,2.8,0.1,6,2.5,0.2,2.1,0.0004235374999999998
163,5,39,2.8,0.1,6,2.5,0.2,2.2,0.0002703187499999999
164,5,39,2.8,0.1,6,2.5,0.2,2.3,0.0002696781249999999
165,5,39,2.8,0.1,6,2.5,0.0,2.0,0.0002678499999999999
166,5,39,2.8,0.1,6,2.5,0.0,2.1,0.0
167,5,39,2.8,0.1,6,2.5,0.0,2.2,0.00028189687499999993
168,5,39,2.8,0.1,6,2.5,0.0,2.3,0.0
169,5,39,2.8,0.1,6,3.0,0.2,2.0,0.006746456250000001
170,5,39,2.8,0.1,6,3.0,0.2,2.1,0.006236115624999998
171,5,39,2.8,0.1,6,3.0,0.2,2.2,0.007361684374999995
172,5,39,2.8,0.1,6,3.0,0.2,2.3,0.0061937312500000025
173,5,39,2.8,0.1,6,3.0,0.0,2.0,0.006224893750000002
174,5,39,2.8,0.1,6,3.0,0.0,2.1,0.006085640624999996
175,5,39,2.8,0.1,6,3.0,0.0,2.2,0.006667446875000002
176,5,39,2.8,0.1,6,3.0,0.0,2.3,0.006547009374999996
177,5,39,2.8,0.1,7,2.5,0.2,2.0,0.0
178,5,39,2.8,0.1,7,2.5,0.2,2.1,0.00039054374999999985
179,5,39,2.8,0.1,7,2.5,0.2,2.2,0.0004867156249999999
180,5,39,2.8,0.1,7,2.5,0.2,2.3,0.0
181,5,39,2.8,0.1,7,2.5,0.0,2.0,0.00034623125
182,5,39,2.8,0.1,7,2.5,0.0,2.1,0.0002784218749999999
183,5,39,2.8,0.1,7,2.5,0.0,2.2,0.0002773999999999999
184,5,39,2.8,0.1,7,2.5,0.0,2.3,0.00030096249999999995
185,5,39,2.8,0.1,7,3.0,0.2,2.0,0.006357365625000005
186,5,39,2.8,0.1,7,3.0,0.2,2.1,0.00575505625
187,5,39,2.8,0.1,7,3.0,0.2,2.2,0.006736946875000002
188,5,39,2.8,0.1,7,3.0,0.2,2.3,0.005582978124999997
189,5,39,2.8,0.1,7,3.0,0.0,2.0,0.005163500000000001
190,5,39,2.8,0.1,7,3.0,0.0,2.1,0.005842990624999999
191,5,39,2.8,0.1,7,3.0,0.0,2.2,0.005629734375000001
192,5,39,2.8,0.1,7,3.0,0.0,2.3,0.005022168749999998
193,5,39,3.0,0.1,5,2.5,0.2,2.0,0.0
194,5,39,3.0,0.1,5,2.5,0.2,2.1,0.0
195,5,39,3.0,0.1,5,2.5,0.2,2.2,0.0
196,5,39,3.0,0.1,5,2.5,0.2,2.3,0.0
197,5,39,3.0,0.1,5,2.5,0.0,2.0,0.0
198,5,39,3.0,0.1,5,2.5,0.0,2.1,0.0
199,5,39,3.0,0.1,5,2.5,0.0,2.2,0.0
200,5,39,3.0,0.1,5,2.5,0.0,2.3,0.0
201,5,39,3.0,0.1,5,3.0,0.2,2.0,0.0
202,5,39,3.0,0.1,5,3.0,0.2,2.1,0.0
203,5,39,3.0,0.1,5,3.0,0.2,2.2,0.0
204,5,39,3.0,0.1,5,3.0,0.2,2.3,0.0
205,5,39,3.0,0.1,5,3.0,0.0,2.0,0.007661756249999999
206,5,39,3.0,0.1,5,3.0,0.0,2.1,0.009068737500000002
207,5,39,3.0,0.1,5,3.0,0.0,2.2,0.008731293749999994
208,5,39,3.0,0.1,5,3.0,0.0,2.3,0.008876006249999995
209,5,39,3.0,0.1,6,2.5,0.2,2.0,0.0
210,5,39,3.0,0.1,6,2.5,0.2,2.1,0.0
211,5,39,3.0,0.1,6,2.5,0.2,2.2,0.0
212,5,39,3.0,0.1,6,2.5,0.2,2.3,0.0
213,5,39,3.0,0.1,6,2.5,0.0,2.0,0.0
214,5,39,3.0,0.1,6,2.5,0.0,2.1,0.0
215,5,39,3.0,0.1,6,2.5,0.0,2.2,0.0
216,5,39,3.0,0.1,6,2.5,0.0,2.3,0.00042286562499999997
217,5,39,3.0,0.1,6,3.0,0.2,2.0,0.0
218,5,39,3.0,0.1,6,3.0,0.2,2.1,0.0
